Expediente,Fecha,Nombre,Link
CFP 1107/2021,21/07/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10885925&tipo=corrupcion-administrativa
CFP 1107/2021,02/06/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10746978&tipo=corrupcion-administrativa
CFP 1107/2021,05/05/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10656883&tipo=corrupcion-administrativa
CFP 1107/2021,12/04/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10583809&tipo=corrupcion-administrativa
CFP 1107/2021,07/05/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=9841760&tipo=corrupcion-administrativa
CFP 1000/2021,07/06/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10759180&tipo=corrupcion-administrativa
CFP 1000/2021,02/06/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10750653&tipo=corrupcion-administrativa
CFP 1000/2021,31/05/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10736547&tipo=corrupcion-administrativa
CFP 1000/2021,21/05/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=9873757&tipo=corrupcion-administrativa
CFP 998/2021,21/05/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=9873701&tipo=corrupcion-administrativa
CFP 686/2021,28/05/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=9884171&tipo=corrupcion-administrativa
CFP 670/2021,17/06/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9930031&tipo=corrupcion-administrativa
CFP 670/2021,12/05/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9848996&tipo=corrupcion-administrativa
CCC 27699/2020,17/03/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11501971&tipo=corrupcion-administrativa
CFP 10045/2020,27/04/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9810943&tipo=corrupcion-administrativa
CFP 10038/2020,12/08/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10039397&tipo=corrupcion-administrativa
CFP 9951/2020,02/12/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=10315948&tipo=corrupcion-administrativa
CFP 9950/2020,06/10/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=11107966&tipo=corrupcion-administrativa
CFP 9810/2020,22/02/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9663966&tipo=corrupcion-administrativa
CFP 9756/2020,08/04/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=9766610&tipo=corrupcion-administrativa
